ludwig-thoma-591,1867,1921
ludwig-tieck-593,1773,1853
ludwig-uhland-601,1787,1862
luise-hensel-262,1798,1876
marie-freifrau-von-ebner-eschenbach-138,1830,1916
marie-von-olfers-1372,1826,1924
martin-greif-1728,1839,1911
martin-luther-392,1483,1546
martin-opitz-449,1597,1639
mathilde-wesendonck-635,1828,1902
matthias-claudius-103,1740,1815
maurus-lindemayr-377,1723,1783
max-barthel-1241,1893,1975
max-dauthendey-118,1867,1918
max-eyth-157,1836,1906
max-halbe-815,1865,1944
max-hofmann-282,1861,1931
max-vogler-610,1854,1889
max-von-schenkendorf-1722,1783,1817
michael-georg-conrad-109,1846,1927
moritz-graf-strachwitz-578,1822,1847
musliheddin-sadi-1106,1184,1257
nataly-von-eschstruth-987,1860,1939
nikolaus-lenau-365,1802,1850
novalis-446,1772,1801
odon-von-horvath-290,1901,1938
omar-chajjam-1420,1048,1131
oskar-loerke-1180,1884,1941
otfried-krzyzanowski-344,1886,1918
otto-erich-hartleben-829,1864,1905
otto-ernst-149,1862,1926
otto-julius-bierbaum-51,1865,1910
ottokar-kernstock-317,1848,1928
otto-zur-linde-1406,1873,1938
ovid-451,-43,-17
paula-dehmel-123,1862,1918
paul-boldt-64,1885,1921
paul-fleming-169,1609,1640
paul-gerhardt-194,1607,1676
paul-haller-1601,1882,1920
paul-hansmann-772,1882,1936
paul-heyse-274,1830,1914
paul-klee-324,1879,1940
paul-scheerbart-511,1863,1915
paul-verlaine-749,1844,1896
pedro-calderon-de-la-barca-800,1600,1681
percy-bysshe-shelley-1649,1792,1822
peter-geibel-1520,1841,1901
peter-hille-276,1854,1904
rabindranath-tagore-1068,1861,1941
rainer-maria-rilke-495,1875,1926
reinhard-sorge-557,1892,1916
richard-dehmel-122,1863,1920
richard-wilhelm-644,1873,1930
richard-zoozmann-665,1863,1934
robert-eduard-prutz-1312,1816,1872
rudolf-baumbach-43,1840,1905
salomon-gessner-196,1730,1788
sebastian-brant-1028,1458,1521
sebastian-sailer-506,1714,1777
sextus-aurelius-propertius-1017,-50,-15
sidonia-hedwig-zaunemann-657,1714,1740
simon-dach-112,1605,1659
stefan-george-192,1868,1933
stefan-zweig-667,1881,1942
stephane-mallarme-1598,1842,1898
theodor-fontane-173,1819,1898
theodor-korner-333,1791,1813
theodor-storm-576,1817,1888
ulrich-von-lichtenstein-602,1200,1275
vergil-606,-70,-19
victor-hugo-293,1802,1885
victor-von-scheffel-512,1826,1886
walter-benjamin-1090,1892,1940
walter-flex-170,1887,1917
walter-hasenclever-1385,1890,1940
walter-rheiner-489,1895,1925
walther-von-der-vogelweide-622,1170,1230
walt-whitman-1479,1819,1892
wilhelm-busch-88,1832,1908
wilhelm-hauff-246,1802,1827
wilhelm-jensen-305,1837,1911
wilhelm-jordan-307,1819,1904
wilhelm-muller-432,1794,1827
wilhelm-von-humboldt-295,1767,1835
william-shakespeare-548,1564,1616
willibald-alexis-6,1798,1871
wolfram-von-eschenbach-151,1160,1220
zephyrin-zettl-660,1876,1935
